eps,min_samples,non_noise,clusters,silhouette
0.01,3,10959,2250,0.5620170494000792
0.01,5,3403,387,0.5443284172300074
0.01,10,312,16,0.7401511268377322
0.02,3,31280,3798,0.2496665665852518
0.02,5,17994,1154,0.2766773268193989
0.02,10,6273,166,0.5396355491635008
0.05,3,61596,2581,-0.1599158866390527
0.05,5,52359,1233,-0.03687925052289521
0.05,10,36073,464,0.22204865011422203
0.1,3,72415,758,-0.6605676548257571
0.1,5,69533,442,-0.5310503061521683
0.1,10,62119,276,-0.25025011643836237
